data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana;edge_id
01/02/2024;2.30 0.127 2 1;543;274;116;111;135;269;521;1610;1950;1687;1584;1677;1614;1759;1857;1891;2100;2192;2230;1949;1404;818;1227;1465;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309.082.303.102;445.053.154.347.885;44.5053154347885, 11.309082303102;466;Giovedì;b3[1]
01/02/2024;2.30 2.31 8 1;23;17;11;9;25;18;39;99;100;89;65;52;69;65;71;67;67;87;63;73;45;20;27;25;189;1;spira;581;5409;21400;VIA EMILIA PONENTE;13344;8807;4000/343434;A;16;E;247;113.096.947.184.232;445.054.053.954.154;44.5054053954154, 11.3096947184232;470;Giovedì;b8
01/02/2024;2.34 2.35 8 1;25;17;10;15;24;27;46;117;115;123;102;92;94;79;95;74;91;86;84;69;63;30;27;30;287;1;spira;27;2708;52400;VIA AURELIO SAFFI;8838;8835;4000/343434;A;20;E;246;11.324.532.869.825;445.001.722.736.237;44.5001722736237, 11.324532869825;481;Giovedì;b12
01/02/2024;2.35 2.34 4 1;262;115;54;45;47;111;221;943;1011;986;750;865;840;948;965;878;1142;1154;1212;1066;652;414;383;375;285;1;spira;25;2860;52400;VIA AURELIO SAFFI;15233;8834;4000/343434;A;21;O;66;113.266.685.739.012;444.994.937.005.152;44.4994937005152, 11.3266685739012;484;Giovedì;b12
01/02/2024;2.82 2.18 2 1;29;17;4;6;7;38;85;320;393;299;310;310;274;305;308;278;360;368;455;353;261;126;118;115;636;1;spira;1008;4563;36250;VIA MARZABOTTO;8778;4568;4000/343434;A;25;S;149;11.309.913.896.272;444.992.572.264.694;44.4992572264694, 11.309913896272;507;Giovedì;b20+19a
01/02/2024;2.82 2.18 2 2;32;17;5;4;5;32;78;302;299;293;306;251;263;270;311;326;379;381;480;366;255;138;94;102;269;1;spira;922;4568;36250;VIA MARZABOTTO;8776;8777;4000/343434;A;300;S;155;113.132.064.397.937;445.039.186.889.583;44.5039186889583, 11.3132064397937;508;Giovedì;b17[1]
01/02/2024;2.95 2.4 6 1;161;64;26;16;32;62;176;621;632;695;648;660;618;595;669;672;666;657;725;800;654;306;283;333;623;1;spira;956;304;52950;VIA SARAGOZZA;4657;4539;4000/343434;A;371;SO;109;113.208.167.613.095;444.896.143.680.428;44.4896143680428, 11.3208167613095;518;Giovedì;a195
01/02/2024;2.95 2.5 2 1;23;12;7;3;8;18;39;128;147;104;96;87;95;105;108;102;112;129;133;138;96;33;38;28;624;1;spira;957;304;52950;VIA SARAGOZZA;4539;4657;4000/343434;A;371;NE;289;113.209.092.063.132;444.895.928.457.479;44.4895928457479, 11.3209092063132;519;Giovedì;a195
01/02/2024;0.127 2.5 4 1;21;6;1;2;0;8;21;110;207;163;125;133;121;151;100;125;168;167;173;184;144;75;50;42;589;1;spira;538;4229;29800;VIA ALESSANDRO GUIDOTTI;4663;4664;4000/343434;A;337;S;187;113.260.133.446.752;444.905.328.608.867;44.4905328608867, 11.3260133446752;70;Giovedì;a60
01/02/2024;0.127 2.10 10 1;20;6;6;5;10;8;29;226;302;238;195;168;175;212;235;220;259;296;300;238;123;59;50;51;917;2;spira;1097;8745;44950;VIALE CARLO PEPOLI;16675;16677;4000/343434;A;338;N;14;113.287.720.902.502;444.937.218.654.403;44.4937218654403, 11.3287720902502;27;Giovedì;a43[0]
